N,resampling,q50_error,q80_error,q90_error,q95_error,sub_meter_quantile,variance,mc_variance,run_time,q50_error_lo,q50_error_hi,q80_error_lo,q80_error_hi,q90_error_lo,q90_error_hi,q95_error_lo,q95_error_hi,variance_lo,variance_hi,sub_meter_quantile_lo,sub_meter_quantile_hi,mc_variance_new
100,0,1.9472552964419907,4.171420866124171,5.7475161196904105,7.940906947825039,0.27523148148148147,NA,22.535905990590308,7.639152773221334,1.865062033469351,2.02944855941463,4.039767820050081,4.303073912198261,5.512974542464416,5.982057696916405,7.407839446251933,8.473974449398145,NA,NA,0.2629009070372625,0.28756205592570044,22.535905990590308
1000,0,1.0518037863879897,2.005961927491478,2.6021229142299216,3.2663307398403796,0.4804783950617284,NA,2.0165391023895167,15.35358782609304,1.0332411881487429,1.0703663846272364,1.978314423277573,2.033609431705383,2.557870033395277,2.646375795064566,3.203066737440981,3.3295947422397782,NA,NA,0.4737852819541337,0.4871715081693231,2.0165391023895167
10000,0,0.8768907014288441,1.6569418319634173,2.059468554123901,2.4802937755624113,0.5536265432098766,NA,0.1341290667865503,85.44496085643769,0.8699564005246938,0.8838250023329943,1.6462906208346826,1.667593043092152,2.0414623795118234,2.0774747287359783,2.459226254483405,2.501361296641418,NA,NA,0.5498123440547011,0.557440742365052,0.1341290667865503
100,0.1,0.8640376991182005,1.608266952186968,2.000986764474494,2.34418296559829,0.5688271604938271,0.07290981252615866,0.14106703970727386,6.972922937075297,0.8551759886786843,0.8728994095577167,1.5976952915068905,1.618838612867046,1.986711570302395,2.0152619586465934,2.321188141861908,2.367177789334672,0.07147385098793084,0.07434577406438649,0.5647872450634731,0.5728670759241811,0.14106703970727386
1000,0.1,0.8632742970280645,1.6080451137909195,2.009609509525592,2.32517022273277,0.5749228395061728,0.00392464160817545,0.02625566960566161,14.400753211975095,0.8594980202156626,0.8670505738404664,1.6030435057071362,1.613046721874703,2.000444391022162,2.018774628029022,2.3083719888324987,2.341968456633041,0.00387664839752548,0.00397263481882543,0.573051386860591,0.5767942921517547,0.02625566960566161
10000,0.1,0.860308907227151,1.6095710713984188,1.9950463343098892,2.3159175854140144,0.5762345679012346,2.206547925083247e-4,0.006667030386091719,82.68342622915904,0.85828978798432,0.8623280264699821,1.6061460653200323,1.6129960774768053,1.9884300868788112,2.001662581740967,2.3061377256631004,2.3256974451649284,2.1747804412484544e-4,2.2383154089180397e-4,0.5749154006142826,0.5775537351881866,0.006667030386091719
100,0.6666666666666666,0.8777400719171227,1.6137236369672745,2.0045957518635737,2.3454596206164906,0.5597222222222222,0.05761786115200642,0.09330991683250156,7.162975899378458,0.8693600011019262,0.8861201427323191,1.606792454143918,1.6206548197906303,1.9911587030108608,2.018032800716287,2.3186140842157412,2.37230515701724,0.0566139812233503,0.05862174108066254,0.5560635603041402,0.5633808841403043,0.09330991683250156
1000,0.6666666666666666,0.8619905714206817,1.610338123927774,2.0031373721299355,2.303799619461995,0.5760802469135803,0.00288646470392373,0.01546367990694468,14.502377661069234,0.8581108353187702,0.8658703075225932,1.6058746863108786,1.6148015615446691,1.99373271006036,2.012542034199511,2.2909573750485004,2.31664186387549,0.00284898450325354,0.00292394490459392,0.5744283250360195,0.5777321687911411,0.01546367990694468
10000,0.6666666666666666,0.8602374664409667,1.6092593952009977,2.000407052249792,2.2968366356170846,0.5766975308641975,1.7067102498573452e-4,0.0038137182540968237,81.77935221195222,0.8585724289126754,0.8619025039692579,1.606232046060259,1.612286744341736,1.997016218825108,2.003797885674476,2.291449454871834,2.302223816362335,1.687708922539511e-4,1.7257115771751794e-4,0.5759495201052411,0.5774455416231539,0.0038137182540968237
100,1,0.8767192900759454,1.6131384882246167,2.0158086858340507,2.379898534956037,0.5648148148148148,0.05824750054200029,0.09025684908174741,7.187814521789551,0.8680703534884912,0.8853682266633996,1.6065126981152955,1.619764278333938,2.0032394323293894,2.028377939338712,2.3550958396359207,2.4047012302761535,0.0569868113688276,0.05950818971517298,0.5615978673612255,0.568031762268404,0.09025684908174741
1000,1,0.8586726348945355,1.6136483073171906,2.006565218003617,2.319431574527172,0.575462962962963,0.00284992926337955,0.01633487348171695,14.48366085688273,0.855392278725613,0.861952991063458,1.6093248183307551,1.617971796303626,1.9991525259913905,2.0139779100158437,2.3065592564334225,2.332303892620921,0.00281483060686595,0.00288502791989315,0.5738896971976541,0.5770362287282718,0.01633487348171695
10000,1,0.8598946597331968,1.614760756395935,2.0013650421246942,2.2951721199232664,0.5766975308641975,1.7171016862478291e-4,0.004320633728536456,83.31410862604777,0.8585820857783713,0.8612072336880223,1.6124657057855831,1.6170558070062868,1.998308834001551,2.004421250247838,2.288747550271514,2.301596689575019,1.6965153126942731e-4,1.737688059801385e-4,0.5759986784766048,0.5773963832517902,0.004320633728536456
