map_matching,P,q,q50_error,q80_error,q90_error,q95_error,sub_meter_quantile,variance,mc_variance,run_time
TRUE,0,0.75,0.7358209528161174,1.311086749540535,1.5564489675945146,1.79385178223997,0.6578703703703703,0.4645762159181625,1.3485173310418188,16.221419421831765
TRUE,100,0.75,0.7298974499594959,1.2882003284590533,1.5554029959154203,1.8049482982238687,0.6625771604938272,0.490624768314086,2.097953625561012,16.221419421831765
TRUE,1000,0.75,0.716270543231469,1.2686670177099857,1.534674709585841,1.8018928031951733,0.6709104938271605,0.5155253431078163,2.238382346165728,16.221419421831765
TRUE,0,1.5,0.7153394896185619,1.286595371314227,1.5763431339452525,1.836390297115031,0.6753086419753086,0.428619305086373,0.1381148213121266,16.221419421831765
TRUE,100,1.5,0.7088270953852477,1.311061966807933,1.632239174437904,1.8713519401797107,0.6781635802469136,0.4308954736968059,0.5760760263971545,16.221419421831765
TRUE,1000,1.5,0.6935663887612488,1.312506130147678,1.6464917793122815,1.8919302579864552,0.6799382716049382,0.46686950250008447,0.922750410912195,16.221419421831765
TRUE,0,2,0.710503342769797,1.2767244885462246,1.5667279349118473,1.830360936980721,0.6837962962962962,0.4691086021815216,0.11122626533154058,16.221419421831765
TRUE,100,2,0.6961294897967878,1.3126931707938383,1.6512079072700196,1.8842973602487885,0.6798611111111111,0.4826986154281636,0.6577903471127896,16.221419421831765
TRUE,1000,2,0.6995505379641977,1.3211473171093877,1.6674563396931437,1.92995114411048,0.6793981481481481,0.5187055180657304,1.1483232171115787,16.221419421831765
TRUE,0,2.5,0.712584016823353,1.2847256473482227,1.567708043343982,1.8377893415270947,0.6770061728395061,0.5196721036939065,0.12150030837069996,16.221419421831765
TRUE,100,2.5,0.6940650542998535,1.3264671215188255,1.6613828398209411,1.888749378425926,0.6800925925925926,0.5270860715978553,0.731702386648671,16.221419421831765
TRUE,1000,2.5,0.6987824109026224,1.3434149634879524,1.6898393786969133,1.944645262825171,0.6712962962962963,0.5805555105888991,1.078108656971258,16.221419421831765
FALSE,0,0.75,0.8809931340297008,1.5720144165209031,1.917579574345272,2.268861028688061,0.5698302469135802,0.4186439714395074,0.0350632479269831,16.221419421831765
FALSE,0,1.5,0.8700860850288683,1.6038750961375794,1.9716566607836228,2.2943604635677004,0.5729938271604939,0.35159135294178984,0.014402999354669072,16.221419421831765
FALSE,0,2,0.8619905714206817,1.610338123927774,2.0031373721299355,2.303799619461995,0.5760802469135803,0.3741145641943586,0.01073858939787779,16.221419421831765
FALSE,0,2.5,0.8570810325135707,1.6153653596996114,2.016426905411942,2.3062325607092937,0.5740740740740741,0.4072711774024839,0.0091255732615298,16.221419421831765
