N,resampling,q50_error,q80_error,q90_error,q95_error,sub_meter_quantile,variance,mc_variance,run_time
100,0,1.9343609303279525,4.159966303519088,5.739777862887867,7.915939470080474,0.2771377574403483,NA,15.91755603483682,7.986109709739685
1000,0,1.0518037863879897,2.005961927491478,2.6021229142299216,3.2663307398403796,0.4804783950617284,NA,1.4057277622706663,15.920307461420695
10000,0,0.8768907014288441,1.6569418319634173,2.059468554123901,2.4802937755624113,0.5536265432098766,NA,0.0929970627780353,100.29750635623931
100,0.1,0.8640376991182005,1.6082669521869681,2.000986764474494,2.34418296559829,0.5688271604938271,3.283137943858679,0.09663312203532716,8.107881871859233
1000,0.1,0.8632742970280645,1.6080451137909197,2.009609509525592,2.32517022273277,0.5749228395061728,1.3646432255891925,0.01788715282349268,16.45384136835734
10000,0.1,0.860308907227151,1.6095710713984188,1.9950463343098892,2.3159175854140144,0.5762345679012346,0.6160358319220326,0.00462419547780288,96.04770532449086
100,0.6666666666666666,0.8777400719171227,1.6137236369672743,2.0045957518635737,2.3454596206164906,0.5597222222222222,1.0879180588157447,0.06435982152978778,7.79357168674469
1000,0.6666666666666666,0.8619905714206817,1.6103381239277739,2.0031373721299355,2.303799619461995,0.5760802469135803,0.3741145641943586,0.01073858939787779,15.49365336894989
10000,0.6666666666666666,0.8602374664409667,1.6092593952009975,2.000407052249792,2.2968366356170846,0.5766975308641975,0.2555822135614132,0.00262778693365054,93.53189114729562
100,1,0.8767192900759454,1.6131384882246167,2.0158086858340507,2.379898534956037,0.5648148148148148,1.0975842641532134,0.06184007212087113,7.890207799275716
1000,1,0.8586726348945355,1.6136483073171906,2.006565218003617,2.319431574527172,0.575462962962963,0.3789236648260406,0.011054615273600044,15.433779835700989
10000,1,0.8598946597331968,1.614760756395935,2.0013650421246942,2.2951721199232664,0.5766975308641975,0.25870932504931554,0.0028757101528084457,93.68724879423777
