id,ts,locator_mac,asset_tag_mac,sequence_nr,azimuth_location_mdf,azimuth_scale,elevation_location,elevation_scale,quality_sndr,rssi,distance,x_m,y_m,height
29,1717690253,2c:e3:10:00:07:c6,2c:e3:10:00:43:9a,22541,1.9447475118347841,8.820815,0.15867773,0.029244361,-83,-83,15.6,31.779144018797858,9.948327645626009,5.5
30,1717690253,2c:e3:10:00:01:e5,2c:e3:10:00:43:9a,22541,3.4968703267948973,78.68826,0.26326844,0.025572551,-86,-86,16.9,64.65079297617113,45.004389396191264,5.5
31,1717690253,2c:e3:10:00:02:63,2c:e3:10:00:43:9a,22541,4.025129447898601,62.54456,0.123779275,0.012765457,-75,-75,12.2,64.19971277703543,29.772323499029696,5.45
32,1717690253,2c:e3:10:00:07:c3,2c:e3:10:00:43:9a,22541,3.3805166267948965,23.032824,1.1087265,0.016349884,-72,-72,9.7,49.072618861285406,8.35252396322196,5.5
33,1717690253,2c:e3:10:00:00:80,2c:e3:10:00:43:9a,22543,4.0886816553786565,35.03613,0.32472152,0.048805375,-78,-78,12.5,64.4663389866812,19.94506436521258,5.5
34,1717690253,2c:e3:10:00:01:d8,2c:e3:10:00:43:9a,22543,1.9819824946738187,93.92342,0.14416234,0.01716465,-93,-93,27.1,7.847149816366816,17.2865226422231,5.5
35,1717690253,2c:e3:10:00:02:5b,2c:e3:10:00:43:9a,22543,3.321268404354726,51.782825,0.5520361,0.03931742,-87,-87,19.6,64.90519209008792,56.92759939471794,5.45
36,1717690253,2c:e3:10:00:02:63,2c:e3:10:00:43:9a,22543,4.001300847898602,73.463524,0.13739733,0.010568371,-85,-85,13.1,64.19971277703543,29.772323499029696,5.45
37,1717690253,2c:e3:10:00:05:2c,2c:e3:10:00:43:9a,22543,NA,NA,NA,NA,-86,-86,29.8,2.042781325492878,55.95572973809806,5.3
38,1717690253,2c:e3:10:00:07:69,2c:e3:10:00:43:9a,22543,4.234176334274953,70.584496,0.6880009,0.024577308,-85,-85,15.1,72.39245084617761,16.695829381558603,3.8
39,1717690253,2c:e3:10:00:07:c4,2c:e3:10:00:43:9a,22543,2.3071302043547255,127.14839,0.33038494,0.020770352,-70,-70,11.4,43.37392640248455,9.974547649721545,5.45
40,1717690253,2c:e3:10:00:07:c6,2c:e3:10:00:43:9a,22543,2.010664011834784,19.592907,0.14492397,0.023989873,-89,-89,16.5,31.779144018797858,9.948327645626009,5.5
41,1717690253,2c:e3:10:00:07:ad,2c:e3:10:00:43:9a,22543,2.5506789193148407,102.92148,0.12623052,0.009438069,-97,-97,24.8,22.754601163124665,40.3776446451567,5.45
42,1717690253,2c:e3:10:00:07:b8,2c:e3:10:00:43:9a,22543,2.3143327594743863,57.006813,0.2120519,0.030176561,-86,-86,19.1,34.590578261044676,17.53414278922931,5.55
43,1717690253,2c:e3:10:00:02:30,2c:e3:10:00:43:9a,22544,1.6322145058746693,28.336775,0.7120737,0.023514707,-80,-80,16.9,22.287494599353572,17.406213816605934,5.5
44,1717690253,2c:e3:10:00:02:5b,2c:e3:10:00:43:9a,22544,3.254354404354726,82.34664,0.57827854,0.020046884,-83,-83,18.5,64.90519209008792,56.92759939471794,5.45
45,1717690253,2c:e3:10:00:07:9c,2c:e3:10:00:43:9a,22544,2.696018192074104,91.8504,0.14945306,0.025419908,-83,-83,14.9,45.30086977364141,21.214784061292146,5.5
46,1717690253,2c:e3:10:00:07:aa,2c:e3:10:00:43:9a,22544,3.2619197819145564,27.029408,0.27002984,0.032551594,-80,-80,12.4,51.8341875306415,27.376942120304804,5.5
47,1717690253,2c:e3:10:00:07:b6,2c:e3:10:00:43:9a,22544,3.1539440716752374,122.93686,0.62527543,0.011966355,-71,-71,8,49.70623098489061,16.038199322205198,5.5
48,1717690253,2c:e3:10:00:07:b8,2c:e3:10:00:43:9a,22544,2.2922987594743867,77.20082,0.2222905,0.027812509,-78,-78,19,34.590578261044676,17.53414278922931,5.55
49,1717690253,2c:e3:10:00:07:c4,2c:e3:10:00:43:9a,22544,2.2570074043547272,110.20877,0.41981858,0.021087777,-79,-79,10.6,43.37392640248455,9.974547649721545,5.45
50,1717690253,2c:e3:10:00:05:30,2c:e3:10:00:43:9a,22544,2.639434926794896,117.619576,0.1486149,0.012607347,-92,-92,27,26.856809240269033,57.3452336350354,5.3
51,1717690253,2c:e3:10:00:05:36,2c:e3:10:00:43:9a,22544,4.71510534145454,54.382706,0.16965167,0.029814601,-70,-70,11.6,66.32940278891483,7.583958006355402,5.5
52,1717690253,2c:e3:10:00:07:c3,2c:e3:10:00:43:9a,22545,3.4057938267948953,20.50023,1.1623884,0.014686765,-69,-69,9.8,49.072618861285406,8.35252396322196,5.5
53,1717690254,2c:e3:10:00:05:2c,2c:e3:10:00:43:9a,22547,NA,NA,NA,NA,-95,-95,29.9,2.042781325492878,55.95572973809806,5.3
54,1717690254,2c:e3:10:00:05:30,2c:e3:10:00:43:9a,22547,2.690128426794896,93.87988,0.14265314,0.023638967,-94,-94,27.9,26.856809240269033,57.3452336350354,5.3
55,1717690254,2c:e3:10:00:05:ab,2c:e3:10:00:43:9a,22547,3.124221186635348,36.26443,0.4665059,0.04502522,-85,-85,15,48.33094429111274,40.65754225571203,5.55
56,1717690254,2c:e3:10:00:07:69,2c:e3:10:00:43:9a,22547,4.247724534274953,58.93322,0.6430386,0.023858897,-84,-84,15.9,72.39245084617761,16.695829381558603,3.8
57,1717690254,2c:e3:10:00:07:9c,2c:e3:10:00:43:9a,22547,2.7553421220741035,129.81569,0.1427745,0.021370355,-79,-79,14.6,45.30086977364141,21.214784061292146,5.5
58,1717690254,2c:e3:10:00:07:c4,2c:e3:10:00:43:9a,22547,2.2253507543547277,142.50365,0.383097,0.019248247,-72,-72,10.3,43.37392640248455,9.974547649721545,5.45
59,1717690254,2c:e3:10:00:02:5b,2c:e3:10:00:43:9a,22548,3.2411851043547277,83.85861,0.58260846,0.017159961,-83,-83,17.9,64.90519209008792,56.92759939471794,5.45
60,1717690254,2c:e3:10:00:07:ad,2c:e3:10:00:43:9a,22548,2.53815661931484,93.76163,0.1203293,0.009732006,-85,-85,23.8,22.754601163124665,40.3776446451567,5.45
61,1717690254,2c:e3:10:00:07:c3,2c:e3:10:00:43:9a,22548,3.2486295267948964,16.392586,1.1722826,0.016751967,-75,-75,10.1,49.072618861285406,8.35252396322196,5.5
62,1717690254,2c:e3:10:00:07:c4,2c:e3:10:00:43:9a,22548,2.2160219743547267,97.56033,0.39292842,0.02000916,-78,-78,10,43.37392640248455,9.974547649721545,5.45
63,1717690254,2c:e3:10:00:05:2c,2c:e3:10:00:43:9a,22548,NA,NA,NA,NA,-91,-91,29.9,2.042781325492878,55.95572973809806,5.3
64,1717690254,2c:e3:10:00:00:80,2c:e3:10:00:43:9a,22550,4.114596855378658,56.24506,0.2951147,0.041554008,-73,-73,12.5,64.4663389866812,19.94506436521258,5.5
65,1717690254,2c:e3:10:00:01:f9,2c:e3:10:00:43:9a,22550,3.118454541755009,62.942806,0.16364157,0.028719518,-93,-93,25.8,40.92019257933404,51.79134644667901,5.45
66,1717690254,2c:e3:10:00:02:30,2c:e3:10:00:43:9a,22550,1.48670311687467,58.699314,0.6371794,0.022607436,-89,-89,17.2,22.287494599353572,17.406213816605934,5.5
67,1717690254,2c:e3:10:00:07:b6,2c:e3:10:00:43:9a,22550,3.087975971675235,99.582184,0.6445787,0.0129145095,-80,-80,8.8,49.70623098489061,16.038199322205198,5.5
68,1717690254,2c:e3:10:00:07:b8,2c:e3:10:00:43:9a,22550,2.336704259474385,76.338745,0.23791987,0.029433547,-77,-77,16.4,34.590578261044676,17.53414278922931,5.55
69,1717690254,2c:e3:10:00:07:c4,2c:e3:10:00:43:9a,22550,2.167765104354727,88.72628,0.36133984,0.022714838,-73,-73,9.5,43.37392640248455,9.974547649721545,5.45
70,1717690254,2c:e3:10:00:07:c6,2c:e3:10:00:43:9a,22550,1.8840889118347828,19.47524,0.15763234,0.028846541,-91,-91,17.8,31.779144018797858,9.948327645626009,5.5
71,1717690254,2c:e3:10:00:07:c3,2c:e3:10:00:43:9a,22550,3.0646407267948965,18.413265,1.2268511,0.011836946,-74,-74,10.1,49.072618861285406,8.35252396322196,5.5
72,1717690254,2c:e3:10:00:07:69,2c:e3:10:00:43:9a,22551,4.219908034274953,47.830006,0.51498723,0.026616618,-82,-82,15,72.39245084617761,16.695829381558603,3.8
73,1717690254,2c:e3:10:00:07:b6,2c:e3:10:00:43:9a,22551,3.024335571675238,125.140785,0.63037753,0.011823684,-74,-74,9.2,49.70623098489061,16.038199322205198,5.5
74,1717690254,2c:e3:10:00:07:c4,2c:e3:10:00:43:9a,22551,2.1398315543547266,87.428406,0.32607442,0.02401029,-74,-74,9.1,43.37392640248455,9.974547649721545,5.45
75,1717690254,2c:e3:10:00:05:36,2c:e3:10:00:43:9a,22551,4.74477434145454,70.08286,0.22622031,0.029107181,-75,-75,11.8,66.32940278891483,7.583958006355402,5.5
76,1717690255,2c:e3:10:00:07:c4,2c:e3:10:00:43:9a,22552,2.084588704354726,115.35986,0.3157812,0.027427575,-74,-74,9.2,43.37392640248455,9.974547649721545,5.45
77,1717690255,2c:e3:10:00:07:c4,2c:e3:10:00:43:9a,22554,2.0882642443547246,146.04254,0.4033346,0.02675937,-74,-74,9.2,43.37392640248455,9.974547649721545,5.45
78,1717690255,2c:e3:10:00:02:63,2c:e3:10:00:43:9a,22554,3.9539454478986,48.51759,0.14227657,0.011792131,-82,-82,13.5,64.19971277703543,29.772323499029696,5.45
79,1717690255,2c:e3:10:00:05:30,2c:e3:10:00:43:9a,22554,2.6618377267948974,75.844955,0.18588893,0.026772209,-96,-96,29.1,26.856809240269033,57.3452336350354,5.3
80,1717690255,2c:e3:10:00:01:91,2c:e3:10:00:43:9a,22555,2.4253480567948955,39.609173,0.27560768,0.037224285,-95,-95,24.6,35.76286641203679,67.47499046165174,5.5
81,1717690255,2c:e3:10:00:01:e5,2c:e3:10:00:43:9a,22555,3.4585330267948966,67.612724,0.22569332,0.026432699,-86,-86,17.5,64.65079297617113,45.004389396191264,5.5
82,1717690255,2c:e3:10:00:02:5b,2c:e3:10:00:43:9a,22555,3.179105404354725,41.787193,0.559009,0.026607964,-85,-85,18.2,64.90519209008792,56.92759939471794,5.45
83,1717690255,2c:e3:10:00:07:b6,2c:e3:10:00:43:9a,22555,3.0149587716752357,106.23664,0.64228284,0.012380394,-81,-81,10,49.70623098489061,16.038199322205198,5.5
84,1717690255,2c:e3:10:00:07:c3,2c:e3:10:00:43:9a,22555,2.958459426794895,23.116718,1.2276814,0.01090248,-75,-75,10.2,49.072618861285406,8.35252396322196,5.5
85,1717690255,2c:e3:10:00:07:c4,2c:e3:10:00:43:9a,22555,2.0956303343547273,128.22972,0.36058375,0.028727463,-76,-76,9.7,43.37392640248455,9.974547649721545,5.45
86,1717690255,2c:e3:10:00:07:c6,2c:e3:10:00:43:9a,22555,1.713100031834783,11.349752,0.16617827,0.03161603,-87,-87,18.6,31.779144018797858,9.948327645626009,5.5
87,1717690255,2c:e3:10:00:02:63,2c:e3:10:00:43:9a,22555,3.9309844478986022,40.286377,0.14545214,0.013880844,-87,-87,14.9,64.19971277703543,29.772323499029696,5.45
88,1717690255,2c:e3:10:00:05:36,2c:e3:10:00:43:9a,22555,4.69755774145454,88.826035,0.21256445,0.026968436,-70,-70,10.3,66.32940278891483,7.583958006355402,5.5
89,1717690255,2c:e3:10:00:07:69,2c:e3:10:00:43:9a,22555,4.180327134274955,58.950497,0.40236536,0.02708413,-78,-78,14.9,72.39245084617761,16.695829381558603,3.8
90,1717690256,2c:e3:10:00:07:9c,2c:e3:10:00:43:9a,22558,2.721873822074102,80.04922,0.1455872,0.022590792,-79,-79,13.8,45.30086977364141,21.214784061292146,5.5
91,1717690256,2c:e3:10:00:00:80,2c:e3:10:00:43:9a,22559,4.117613255378657,98.973885,0.24669075,0.028378377,-78,-78,11.7,64.4663389866812,19.94506436521258,5.5
92,1717690256,2c:e3:10:00:02:04,2c:e3:10:00:43:9a,22559,1.7640879534743872,132.42812,0.15426067,0.013887809,-85,-85,23.6,6.471787199848687,11.36461889334746,5.45
93,1717690256,2c:e3:10:00:02:63,2c:e3:10:00:43:9a,22559,3.9392434478986007,47.075573,0.14050564,0.014923406,-77,-77,14.5,64.19971277703543,29.772323499029696,5.45
94,1717690256,2c:e3:10:00:02:5b,2c:e3:10:00:43:9a,22559,3.115929204354727,41.23009,0.46666548,0.036973264,-88,-88,18.6,64.90519209008792,56.92759939471794,5.45
95,1717690256,2c:e3:10:00:02:63,2c:e3:10:00:43:9a,22560,3.9573071478986033,34.441628,0.1297798,0.01918462,-82,-82,14.7,64.19971277703543,29.772323499029696,5.45
96,1717690256,2c:e3:10:00:07:c3,2c:e3:10:00:43:9a,22560,2.7479706267948956,32.904602,1.1321665,0.009282729,-65,-65,8,49.072618861285406,8.35252396322196,5.5
97,1717690256,2c:e3:10:00:07:c4,2c:e3:10:00:43:9a,22560,2.1113241043547255,174.10413,0.27599487,0.022917809,-77,-77,9.5,43.37392640248455,9.974547649721545,5.45
98,1717690256,2c:e3:10:00:07:c6,2c:e3:10:00:43:9a,22560,1.5208901718347825,35.14435,0.16084169,0.029720938,-89,-89,19.5,31.779144018797858,9.948327645626009,5.5
99,1717690256,2c:e3:10:00:01:be,2c:e3:10:00:43:9a,22562,2.373531026794897,52.681965,0.1555566,0.029524902,-86,-86,20.3,29.029652535624095,30.913801610600963,5.75
100,1717690256,2c:e3:10:00:02:63,2c:e3:10:00:43:9a,22562,3.9744387478986027,22.158491,0.14356402,0.023095755,-87,-87,15.4,64.19971277703543,29.772323499029696,5.45
101,1717690256,2c:e3:10:00:07:9b,2c:e3:10:00:43:9a,22562,2.826453111834784,55.756645,0.14797004,0.023984006,-83,-83,20.8,37.01032104779204,40.567075400794174,5.9
102,1717690256,2c:e3:10:00:07:b6,2c:e3:10:00:43:9a,22562,2.9882034716752384,99.085495,0.6811165,0.011807238,-72,-72,10,49.70623098489061,16.038199322205198,5.5
103,1717690256,2c:e3:10:00:07:c3,2c:e3:10:00:43:9a,22562,2.5971842267948966,58.66819,1.1109991,0.005335042,-70,-70,7.8,49.072618861285406,8.35252396322196,5.5
104,1717690256,2c:e3:10:00:00:80,2c:e3:10:00:43:9a,22563,4.108128555378658,55.1993,0.24322149,0.031391874,-83,-83,12.2,64.4663389866812,19.94506436521258,5.5
105,1717690256,2c:e3:10:00:01:e5,2c:e3:10:00:43:9a,22563,3.4645753267948978,77.33025,0.2161299,0.028352069,-89,-89,18,64.65079297617113,45.004389396191264,5.5
106,1717690256,2c:e3:10:00:01:f9,2c:e3:10:00:43:9a,22563,3.2086181417550104,91.22323,0.19325833,0.03129049,-87,-87,24.8,40.92019257933404,51.79134644667901,5.45
107,1717690256,2c:e3:10:00:02:5b,2c:e3:10:00:43:9a,22563,3.2407029043547273,81.04738,0.3692574,0.0339234,-90,-90,19.7,64.90519209008792,56.92759939471794,5.45
108,1717690256,2c:e3:10:00:02:63,2c:e3:10:00:43:9a,22563,3.9817176478986016,15.415822,0.14478451,0.027761437,-78,-78,15.1,64.19971277703543,29.772323499029696,5.45
109,1717690256,2c:e3:10:00:07:b8,2c:e3:10:00:43:9a,22563,2.3191308594743862,101.42904,0.25889838,0.027418531,-82,-82,16.8,34.590578261044676,17.53414278922931,5.55
110,1717690256,2c:e3:10:00:07:c3,2c:e3:10:00:43:9a,22563,2.5893610267948968,89.43375,1.1419125,0.003912525,-68,-68,7.4,49.072618861285406,8.35252396322196,5.5
111,1717690256,2c:e3:10:00:07:c4,2c:e3:10:00:43:9a,22563,2.051905144354727,310.68353,0.19985822,0.015530922,-72,-72,9.5,43.37392640248455,9.974547649721545,5.45
112,1717690257,2c:e3:10:00:00:80,2c:e3:10:00:43:9a,22566,4.224218555378659,105.63161,0.22375873,0.02655956,-75,-75,11.6,64.4663389866812,19.94506436521258,5.5
