map_matching,P,q,q50_error,q80_error,q90_error,q95_error,sub_meter_quantile,variance,mc_variance,run_time,q50_error_lo,q50_error_hi,q80_error_lo,q80_error_hi,q90_error_lo,q90_error_hi,q95_error_lo,q95_error_hi,variance_lo,variance_hi,sub_meter_quantile_lo,sub_meter_quantile_hi
TRUE,0,0.75,0.779845991834835,1.40011178153119,1.6100925012701597,1.821650619900324,0.6268518518518519,0.0018431087742150941,0.17346854101505985,83.86578833262125,0.7734524034564276,0.7862395802132425,1.3959999080613088,1.4042236550010714,1.603222149240107,1.6169628533002123,1.812841079781437,1.830460160019211,0.0018134001559688112,0.0018728173924613771,0.6238558495142603,0.6298478541894434
TRUE,100,0.75,0.7681517829087264,1.405650791026821,1.617699069175242,1.8415452334518716,0.6298611111111111,0.0018191607309683078,0.16554467671397713,100.05134315490723,0.7619014973259812,0.7744020684914716,1.4013230004284163,1.4099785816252257,1.6105643663721072,1.6248337719783768,1.8336596577105562,1.849430809193187,0.0017892935976356018,0.0018490278643010138,0.6272798952725639,0.6324423269496583
TRUE,1000,0.75,0.7667807852622647,1.4072266829725888,1.6146252405931847,1.8494953890133563,0.6265432098765432,0.001807913276219207,0.16488145731853984,100.05418922106425,0.7618409910768349,0.7717205794476945,1.4032679054706625,1.411185460474515,1.607659010626225,1.6215914705601444,1.8401204141263787,1.8588703639003339,0.00178445390245833,0.001831372649980084,0.623880723236497,0.6292056965165894
TRUE,0,1.5,0.7893034454536361,1.4339651150165358,1.6868589275918537,1.9204193802298448,0.6145061728395061,0.002270080665919928,0.24900269018541024,84.7956279595693,0.7869687607489704,0.7916381301583018,1.4311481545338203,1.4367820754992513,1.6796901886801412,1.6940276665035663,1.9129946292554183,1.9278441312042713,0.0022472076042521485,0.0022929537275877074,0.612908977704312,0.6161033679747003
TRUE,100,1.5,0.787966493646271,1.4395293952438486,1.6851431407484452,1.9230124704328646,0.6189814814814815,0.002239152189397406,0.23274240595074475,100.84530193010966,0.7844969813443703,0.7914360059481718,1.435931547350259,1.4431272431374382,1.679814613483904,1.6904716680129863,1.91448796748545,1.9315369733802792,0.0022116554140627427,0.0022666489647320694,0.6172469481329057,0.6207160148300572
TRUE,1000,1.5,0.7742786505445743,1.4380520999717608,1.682321871186263,1.9015645824879697,0.6196759259259259,0.002317029163828457,0.23248315436591177,101.13517911434174,0.7700644743829288,0.7784928267062199,1.4333964038344884,1.442707796109033,1.6761470789297905,1.6884966634427356,1.8943359713601744,1.908793193615765,0.002289393927810874,0.0023446643998460397,0.6182754674673744,0.6210763843844774
TRUE,0,2,0.792797886394339,1.4382734165103788,1.7017091559051025,1.945517302069487,0.6118827160493827,0.0028955672325053907,0.2761351767189645,85.2195256948471,0.7906580385010592,0.7949377342876188,1.4353294661396137,1.4412173668811439,1.6970497008713368,1.7063686109388683,1.9396049161667515,1.9514296879722224,0.0028500561446886015,0.00294107832032218,0.6098226632166609,0.6139427688821045
TRUE,100,2,0.7868132924567912,1.4425293756968218,1.698108881846777,1.9347480825705285,0.6184413580246914,0.00290059416044747,0.25617579424691506,101.25137996673584,0.7835910213095411,0.7900355636040414,1.4386517119943165,1.4464070393993271,1.6930952982305032,1.703122465463051,1.9279953448156772,1.9415008203253799,0.002856646698334602,0.0029445416225603377,0.616873942605168,0.6200087734442147
TRUE,1000,2,0.783358824378985,1.4465050567816513,1.6908985327980477,1.923714134089246,0.6152777777777778,0.0029032567812432896,0.2577740753520915,101.10531681378683,0.7794646817585739,0.7872529669993961,1.44251905900277,1.4504910545605325,1.6857437191295592,1.6960533464665362,1.91918810346473,1.9282401647137621,0.0028637735854977115,0.0029427399769888676,0.6137881088215467,0.616767446734009
TRUE,0,2.5,0.78972388280113,1.432845160582616,1.6995846037198752,1.9430135368060342,0.6113425925925926,0.003771707147913333,0.2895236835308144,85.25693859259287,0.7871062008443485,0.7923415647579116,1.4291064254204768,1.4365838957447552,1.6945287844036643,1.704640423036086,1.9371188087887696,1.9489082648232987,0.0037181634078564786,0.0038252508879701875,0.6094347550259555,0.6132504301592298
TRUE,100,2.5,0.7885661715290964,1.4390527227298593,1.6938509536068111,1.9443037044086084,0.6169753086419753,0.0037774401066853363,0.26718837027528236,102.04378380775452,0.7846216282556082,0.7925107148025845,1.4354848880025584,1.4426205574571602,1.689205664790343,1.6984962424232792,1.9377551571124447,1.9508522517047722,0.003701563211162395,0.0038533170022082776,0.6155300692269544,0.6184205480569961
TRUE,1000,2.5,0.7869727474275527,1.444722036716864,1.6993372946501621,1.9403906220661584,0.6146604938271605,0.0038821949908190443,0.2688572710850558,103.21752864519755,0.7829419408300884,0.7910035540250171,1.4418047915889103,1.4476392818448178,1.6947266519735429,1.7039479373267814,1.9346690635896626,1.9461121805426542,0.0038173164936879736,0.003947073487950115,0.6131788038729071,0.6161421837814138
FALSE,0,0.75,0.8809642840964428,1.570485865395859,1.9277346933662896,2.278303616558517,0.5692901234567901,0.0018576908598658586,0.19030032370903485,26.63835242589315,0.8769229165937691,0.8850056515991165,1.5638952055576412,1.577076525234077,1.9174452187245745,1.9380241680080046,2.260581819536963,2.296025413580071,0.001833140167477683,0.0018822415522540342,0.56722489821378,0.5713553486998002
FALSE,0,1.5,0.8688864904415641,1.5995756784128259,1.9718328179676212,2.286386103030531,0.5742283950617284,0.0023198845298106185,0.27061130251294385,27.3274299065272,0.865514271746875,0.8722587091362531,1.5948433697208804,1.6043079871047714,1.9648899558279354,1.978775680107307,2.2738373932180846,2.2989348128429774,0.0022905713934555302,0.0023491976661657067,0.5729092277747764,0.5755475623486804
