x,y,id,name,label_position_x,label_position_y
34.4325961394343,77.850558025146,6657,Ground Floor,35.78408262208481,36.597158705333946
34.4325961394343,77.850558025146,6657,Ground Floor,35.78408262208481,36.597158705333946
46.25414140892579,77.40696510225581,6657,Ground Floor,35.78408262208481,36.597158705333946
46.91089392352718,69.8658854076066,6657,Ground Floor,35.78408262208481,36.597158705333946
58.82626097929512,70.08768186944569,6657,Ground Floor,35.78408262208481,36.597158705333946
58.82626097929512,64.2100756366197,6657,Ground Floor,35.78408262208481,36.597158705333946
54.604280526191,64.2100756366197,6657,Ground Floor,35.78408262208481,36.597158705333946
54.69810231513402,59.4414517114132,6657,Ground Floor,35.78408262208481,36.597158705333946
69.8972319452422,59.4414517114132,6657,Ground Floor,35.78408262208481,36.597158705333946
69.8972319452422,5.544911540461345,6657,Ground Floor,35.78408262208481,36.597158705333946
54.51045873858127,4.103234539689242,6657,Ground Floor,35.78408262208481,36.597158705333946
54.69810231513402,0.11089823052555435,6657,Ground Floor,35.78408262208481,36.597158705333946
47.380002862909116,0.11089823052555435,6657,Ground Floor,35.78408262208481,36.597158705333946
47.00471571113691,6.875690309919914,6657,Ground Floor,35.78408262208481,36.597158705333946
14.917664267278992,6.875690309919914,6657,Ground Floor,35.78408262208481,36.597158705333946
14.917664267278992,0,6657,Ground Floor,35.78408262208481,36.597158705333946
6.755168725233239,0.221796461839088,6657,Ground Floor,35.78408262208481,36.597158705333946
7.130455877005444,9.98084077251523,6657,Ground Floor,35.78408262208481,36.597158705333946
3.659049726112451,9.98084077251523,6657,Ground Floor,35.78408262208481,36.597158705333946
3.565227938502722,19.73988508319137,6657,Ground Floor,35.78408262208481,36.597158705333946
0.2814653641624752,19.73988508319137,6657,Ground Floor,35.78408262208481,36.597158705333946
0,59.77414640377784,6657,Ground Floor,35.78408262208481,36.597158705333946
16.700278237196997,59.663248173252285,6657,Ground Floor,35.78408262208481,36.597158705333946
16.700278237196997,69.8658854076066,6657,Ground Floor,35.78408262208481,36.597158705333946
34.0573089876621,70.3094783304968,6657,Ground Floor,35.78408262208481,36.597158705333946
34.4325961394343,77.850558025146,6657,Ground Floor,35.78408262208481,36.597158705333946
